,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
13,bitcoin-cash,14,BCH,Bitcoin Cash,19442031.25,21000000.0,5474843312.180162,354939635.7616901,281.59831870346176,-5.138230617945491,284.0972440660183,https://blockchair.com/bitcoin-cash/blocks
14,wrapped-bitcoin,15,WBTC,Wrapped Bitcoin,157325.80860059,,4745123149.879333,62207352.809368424,30161.12354410958,-3.07889040382722,30303.443004954977,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
15,multi-collateral-dai,16,DAI,Multi Collateral DAI,4653685707.413572,,4654532971.3252125,33238531.491744373,1.0001820629851068,0.0342151962355964,1.0003974074887356,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
16,avalanche,17,AVAX,Avalanche,345686822.8949803,720000000.0,4366512743.67266,49074346.66233935,12.63141217563623,-2.7839549639851935,12.59315842356166,https://avascan.info/
17,shiba-inu,18,SHIB,Shiba Inu,589347830319077.2,,4269181153.8359385,59269242.65042979,7.2439074757e-06,-4.816388502288798,7.2931289172e-06,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
18,binance-usd,19,BUSD,Binance USD,4061053626.8490973,,4061762078.171983,314860051.3479134,1.0001744501274747,0.0201477917972988,1.0007170429643186,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
19,unus-sed-leo,20,LEO,UNUS SED LEO,929897343.9,,3426618891.9860053,610953.9242804075,3.684943197724092,-7.270201153736647,3.7289806336324074,https://eospark.com/account/bitfinexleo1
20,chainlink,21,LINK,Chainlink,538099970.4527867,1000000000.0,3299622985.5471425,94562653.59035122,6.131988787828141,-4.914363553190354,6.188542909557761,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
21,uniswap,22,UNI,Uniswap,577501036.0,1000000000.0,3185700174.940457,43196734.79669046,5.516354043286005,-1.0367949160346972,5.405057598012698,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
22,monero,23,XMR,Monero,18301790.1879799,,3044486348.74719,38288742.779262304,166.34910123419087,-1.4213858469707858,167.11838164116193,http://moneroblocks.info/
23,trueusd,24,TUSD,TrueUSD,3005511677.4,,3005703274.3773966,418712934.2466082,1.0000637485386723,-0.0105867568782125,1.0006435669612217,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
24,ethereum-classic,25,ETC,Ethereum Classic,141790611.46372864,210700000.0,2672088570.5001817,66914147.9642312,18.84531382519446,-4.792604076684906,19.104246246347152,http://gastracker.io/
25,stellar,26,XLM,Stellar,27035444477.644234,50001806812.0,2589596760.1484156,29667313.668417495,0.0957852482244103,-5.4199551896243,0.097564833794048,https://dashboard.stellar.org/
26,cosmos,27,ATOM,Cosmos,248453201.0,,2317018906.213122,31280822.939069185,9.325776028995989,-2.4627662191374804,9.328477629199014,https://www.mintscan.io/
27,filecoin,28,FIL,Filecoin,434507824.0,,1915526258.361978,73868932.24605536,4.408496585235202,-4.571735053221329,4.441600223492891,https://protocol.ai
28,internet-computer,29,ICP,Internet Computer,437705269.02723217,,1799522417.35547,7488063.518376184,4.111265147332534,-5.559126588991754,4.156523508071668,https://www.dfinityexplorer.org/#/
29,lido-dao,30,LDO,Lido DAO,879919120.4059602,1000000000.0,1680784562.8355994,4185416.5849866765,1.9101580177734416,-10.524453063430881,1.9867852684859553,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
30,bitcoin-bep2,31,BTCB,Bitcoin BEP2,53813.43290312,,1622580283.0023658,217421490.8470531,30151.95640693444,-3.03886934528023,30331.426043857926,https://explorer.binance.org/asset/BTCB-1DE
31,crypto-com-coin,32,CRO,Crypto.com Coin,25263013692.0,30263013692.0,1427391564.7060108,2391110.787992242,0.0565012386134288,-3.047968317993813,0.0570852794526922,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
32,vechain,33,VET,VeChain,72714516834.0,86712634466.0,1345955604.612304,15924811.748141814,0.0185101361215806,-5.220749414765486,0.0186728901897176,https://explore.veforge.com/
33,near-protocol,34,NEAR,NEAR Protocol,929369483.0,,1261904110.6784182,18119842.661057208,1.357806699876779,-1.53644278740566,1.3349724152146196,https://explorer.nearprotocol.com/
